x y t case x_pre y_pre x_cor y_cor
3177.94 1126.86 48.2321 4 3177 1126 3177 1126
3177.94 1126.86 48.3577 4 3177 1126 3177 1126
3177.94 1126.86 48.4809 4 3177 1126 3177 1126
3177.94 1126.86 48.6024 4 3177 1126 3177 1126
3177.94 1126.86 48.7313 4 3177 1126 3177 1126
3177.94 1126.86 48.8562 4 3177 1126 3177 1126
3177.94 1126.86 48.984 4 3177 1126 3177 1126
3177.94 1126.86 49.1047 4 3177 1126 3177 1126
3177.94 1126.86 49.2307 4 3177 1126 3177 1126
3177.94 1126.86 49.3538 4 3177 1126 3177 1126
3177.94 1126.86 49.4811 4 3177 1126 3177 1126
3177.94 1126.86 49.6036 4 3177 1126 3177 1126
3177.94 1126.86 49.7321 4 3177 1126 3177 1126
3177.94 1126.86 49.8527 4 3177 1126 3177 1126
3177.94 1126.86 49.9782 4 3177 1126 3177 1126
3177.94 1126.86 50.104 4 3177 1126 3177 1126
3177.94 1126.86 50.227 4 3177 1126 3177 1126
3177.94 1126.86 50.355 4 3177 1126 3177 1126
3177.94 1126.86 50.481 4 3177 1126 3177 1126
3177.94 1126.86 50.6018 4 3177 1126 3177 1126
3177.94 1126.86 50.7283 4 3177 1126 3177 1126
3177.94 1126.86 50.8548 4 3177 1126 3177 1126
3177.94 1126.86 50.9735 4 3177 1126 3177 1126
3177.94 1126.86 51.1035 4 3177 1126 3177 1126
3177.94 1126.86 51.2286 4 3177 1126 3177 1126
